CIN,Change_Type,Field_Changed,Old_Value,New_Value,Date
L01100MH1996PLC098836,New Incorporation,N/A,N/A,N/A,2025-10-11
L01110MH1993PLC073268,New Incorporation,N/A,N/A,N/A,2025-10-11
L01110MH1993PLC075572,New Incorporation,N/A,N/A,N/A,2025-10-11
L01110MH1994PLC076263,New Incorporation,N/A,N/A,N/A,2025-10-11
L01110MH1994PLC082421,New Incorporation,N/A,N/A,N/A,2025-10-11
L01110MH1994PLC083443,New Incorporation,N/A,N/A,N/A,2025-10-11
L01110MH1995PLC091675,New Incorporation,N/A,N/A,N/A,2025-10-11
L01110MH1996PLC096747,New Incorporation,N/A,N/A,N/A,2025-10-11
L01111MH1985PLC228508,New Incorporation,N/A,N/A,N/A,2025-10-11
L01407MH1988PLC049645,New Incorporation,N/A,N/A,N/A,2025-10-11
L01611MH2000PLC124689,New Incorporation,N/A,N/A,N/A,2025-10-11
L02710MH1990PLC363582,New Incorporation,N/A,N/A,N/A,2025-10-11
L07100MH2018PLC307613,New Incorporation,N/A,N/A,N/A,2025-10-11
L10100MH1909PLC000300,New Incorporation,N/A,N/A,N/A,2025-10-11
L10799MH2019PLC333102,New Incorporation,N/A,N/A,N/A,2025-10-11
L12235MH1975PLC018481,New Incorporation,N/A,N/A,N/A,2025-10-11
L13209PN1988PLC046418,New Incorporation,N/A,N/A,N/A,2025-10-11
L14101PN2021PLC199578,New Incorporation,N/A,N/A,N/A,2025-10-11
L15100MH2000PLC127460,New Incorporation,N/A,N/A,N/A,2025-10-11
L15130MH2004SGC145415,New Incorporation,N/A,N/A,N/A,2025-10-11
L15139MH1984PLC316003,New Incorporation,N/A,N/A,N/A,2025-10-11
L15140MH1985PLC286828,New Incorporation,N/A,N/A,N/A,2025-10-11
L15140MH1986PLC038536,New Incorporation,N/A,N/A,N/A,2025-10-11
L15140MH1993PLC073460,New Incorporation,N/A,N/A,N/A,2025-10-11
L15141MH1982PLC267176,New Incorporation,N/A,N/A,N/A,2025-10-11
L15142MH2001PLC133714,New Incorporation,N/A,N/A,N/A,2025-10-11
L15142MH2005PLC243687,New Incorporation,N/A,N/A,N/A,2025-10-11
L15143MH1992PLC066662,New Incorporation,N/A,N/A,N/A,2025-10-11
L15201MH1993PLC358584,New Incorporation,N/A,N/A,N/A,2025-10-11
L15400MH1986PLC255807,New Incorporation,N/A,N/A,N/A,2025-10-11
L15400PN2022PLC212368,New Incorporation,N/A,N/A,N/A,2025-10-11
L15419PN1985PLC037347,New Incorporation,N/A,N/A,N/A,2025-10-11
L15420MH1998PLC116906,New Incorporation,N/A,N/A,N/A,2025-10-11
L15420MH2000PLC126759,New Incorporation,N/A,N/A,N/A,2025-10-11
L15494MH1992PTC070066,New Incorporation,N/A,N/A,N/A,2025-10-11
L15500MH1981PLC025809,New Incorporation,N/A,N/A,N/A,2025-10-11
L15510MH2013PLC249458,New Incorporation,N/A,N/A,N/A,2025-10-11
L15511MH2008PLC187368,New Incorporation,N/A,N/A,N/A,2025-10-11
L15549MH2003PLC139352,New Incorporation,N/A,N/A,N/A,2025-10-11
L17100MH1905PLC000200,New Incorporation,N/A,N/A,N/A,2025-10-11
L17100MH1987PLC042391,New Incorporation,N/A,N/A,N/A,2025-10-11
L17100MH1993PLC075251,New Incorporation,N/A,N/A,N/A,2025-10-11
L17100MH1994PLC076502,New Incorporation,N/A,N/A,N/A,2025-10-11
L17100PN1991PLC190209,New Incorporation,N/A,N/A,N/A,2025-10-11
L17110MH1913PLC000357,New Incorporation,N/A,N/A,N/A,2025-10-11
L17110MH1983PLC030117,New Incorporation,N/A,N/A,N/A,2025-10-11
L17110MH1987PLC042899,New Incorporation,N/A,N/A,N/A,2025-10-11
L17110MH1987PLC045042,New Incorporation,N/A,N/A,N/A,2025-10-11
L17110MH1988PLC048451,New Incorporation,N/A,N/A,N/A,2025-10-11
L17110MH1991PLC063997,New Incorporation,N/A,N/A,N/A,2025-10-11
