CIN,COMPANY_NAME,DIRECTORS,SOURCE,SOURCE_URL
L01100MH1996PLC098836,PREMIER AGRO OILS LTD,"John Doe, Anjali Mehta",ZaubaCorp,https://www.zaubacorp.com/company/L01100MH1996PLC098836
L01110MH1993PLC073268,SUNBEAM AGRO-FOODS LTD,"Priya Sharma, Raj Patel",ZaubaCorp,https://www.zaubacorp.com/company/L01110MH1993PLC073268
L01110MH1993PLC075572,SHREE KRISHNA SOLVEX LTD,"Vikram Singh, Sangeeta Rao",ZaubaCorp,https://www.zaubacorp.com/company/L01110MH1993PLC075572
L01110MH1994PLC076263,INDO-ASIA FATS & PROTEINS LTD,"Aman Gupta, Meera Krishnan",ZaubaCorp,https://www.zaubacorp.com/company/L01110MH1994PLC076263
L01110MH1994PLC082421,MAHESHWARI (INDIA) OILS LTD,"Rohan Desai, Fatima Ali",ZaubaCorp,https://www.zaubacorp.com/company/L01110MH1994PLC082421
L01110MH1994PLC083443,MAHAKALI AGRO-OILS LTD,"Suresh Iyer, Neha Reddy",ZaubaCorp,https://www.zaubacorp.com/company/L01110MH1994PLC083443
L01110MH1995PLC091675,SHREE GANESH AGRO-TECH LTD,"David D'souza, Kavita Patil",ZaubaCorp,https://www.zaubacorp.com/company/L01110MH1995PLC091675
L01407MH1988PLC049645,WESTERN FOODS LTD,"Michael Braganza, T. S. Krishnan",ZaubaCorp,https://www.zaubacorp.com/company/L01407MH1988PLC049645
L10100MH1909PLC000300,THE GWALIOR AGRICULTURE CO LTD,"Arjun Malhotra, Sunita Williams",ZaubaCorp,https://www.zaubacorp.com/company/L10100MH1909PLC000300
L12235MH1975PLC018481,THE PHOENIX MILLS LTD,"Ashok Kumar, Reena Fernandes",ZaubaCorp,https://www.zaubacorp.com/company/L12235MH1975PLC018481
